Brand,Model,Processor,Generation,RAM (GB),SSD (GB),HDD (GB),Condition,Price (PKR)
Acer,Swift 3,Core i5,6th Gen,8,512,0,Like New,59377
Apple,MacBook Pro M2,M2,N/A,32,256,0,A-Grade,98616
Microsoft,Surface Laptop 3,Core i5,11th Gen,4,1024,500,A-Grade,84662
MSI,Prestige 15,Core i5,8th Gen,16,0,1000,Slightly Used,63896
Lenovo,ThinkPad L480,Ryzen 3,11th Gen,8,512,500,Like New,71418
MSI,Prestige 15,Core i7,6th Gen,16,128,500,Like New,68990
Apple,MacBook Air M1,M1,N/A,4,256,0,A-Grade,70288
HP,EliteBook 840 G5,Ryzen 3,8th Gen,8,256,1000,Like New,48272
Lenovo,ThinkPad L480,Core i5,7th Gen,4,512,0,Like New,51933
HP,EliteBook 840 G5,Core i7,8th Gen,8,1024,500,A-Grade,82918
Apple,MacBook Pro 2015,Core i7,8th Gen,16,128,500,A-Grade,110602
Acer,Nitro 5,Ryzen 5,10th Gen,4,1024,1000,A-Grade,63422
Asus,VivoBook 15,Core i3,7th Gen,16,128,500,Slightly Used,41424
Dell,XPS 13,Core i3,6th Gen,4,128,500,Like New,28420
Dell,Precision 5520,Celeron,8th Gen,4,128,1000,A-Grade,38891
HP,EliteBook 840 G3,Core i3,8th Gen,32,128,500,A-Grade,63584
Asus,ZenBook 14,Ryzen 5,6th Gen,8,128,1000,B-Grade,30607
HP,EliteBook 840 G3,Core i5,11th Gen,4,256,500,Slightly Used,74974
Asus,VivoBook 15,Celeron,10th Gen,4,256,500,Like New,53909
Asus,TUF Gaming,Core i3,11th Gen,16,1024,1000,A-Grade,84966
Microsoft,Surface Pro 7,Core i7,6th Gen,8,256,0,B-Grade,60898
Lenovo,ThinkPad T470,Core i7,6th Gen,8,512,500,Slightly Used,62351
Microsoft,Surface Book 2,Core i7,6th Gen,4,1024,1000,B-Grade,68764
Microsoft,Surface Book 2,Core i5,6th Gen,16,256,500,B-Grade,55488
HP,EliteBook 840 G5,Ryzen 5,11th Gen,16,0,1000,B-Grade,65107
Dell,Inspiron 15,Ryzen 3,10th Gen,8,1024,1000,A-Grade,69175
Lenovo,ThinkPad X1 Carbon,Ryzen 3,10th Gen,4,512,500,Slightly Used,51206
Lenovo,IdeaPad 3,Celeron,10th Gen,4,1024,1000,Like New,64402
HP,EliteBook 840 G5,Ryzen 3,10th Gen,8,512,1000,A-Grade,61476
Acer,Nitro 5,Ryzen 7,10th Gen,16,128,1000,Slightly Used,58314
MSI,GF63 Thin,Core i5,7th Gen,8,0,1000,Like New,49436
Microsoft,Surface Laptop 3,Core i5,10th Gen,4,256,1000,A-Grade,66465
HP,Spectre x360,Core i5,7th Gen,4,1024,500,A-Grade,53133
Lenovo,ThinkPad T470,Core i7,7th Gen,16,128,1000,A-Grade,64832
Acer,Predator Helios,Core i5,7th Gen,32,128,500,A-Grade,68704
Acer,Swift 3,Ryzen 7,7th Gen,4,0,1000,Slightly Used,23356
Dell,Precision 5520,Core i7,6th Gen,8,1024,0,A-Grade,68595
Dell,XPS 13,Ryzen 7,7th Gen,32,256,1000,B-Grade,54628
Lenovo,ThinkPad X1 Carbon,Celeron,8th Gen,8,128,1000,A-Grade,43768
Acer,Nitro 5,Ryzen 7,10th Gen,8,0,1000,Slightly Used,49398
Microsoft,Surface Book 2,Core i5,8th Gen,4,256,500,B-Grade,56038
Microsoft,Surface Book 2,Celeron,7th Gen,32,256,500,B-Grade,55921
Apple,MacBook Pro M2,M2,N/A,4,256,1000,A-Grade,68842
HP,ProBook 450 G6,Ryzen 7,8th Gen,32,0,500,B-Grade,62493
Microsoft,Surface Laptop 3,Celeron,10th Gen,32,512,500,Like New,87855
HP,EliteBook 840 G3,Core i7,6th Gen,16,512,0,Slightly Used,68655
HP,EliteBook 840 G5,Core i3,11th Gen,32,256,500,Slightly Used,84449
HP,ZBook 15,Ryzen 3,8th Gen,4,128,1000,B-Grade,38752
HP,Spectre x360,Ryzen 5,7th Gen,8,512,0,Slightly Used,36446
Apple,MacBook Pro M2,M2,N/A,16,512,500,B-Grade,86239
Apple,MacBook Pro 2019,Core i7,9th Gen,4,128,0,Like New,96052
Microsoft,Surface Laptop 3,Core i5,6th Gen,4,512,1000,A-Grade,51863
MSI,GF63 Thin,Ryzen 7,8th Gen,8,128,500,B-Grade,40550
Asus,TUF Gaming,Celeron,11th Gen,32,512,500,B-Grade,86817
Asus,ZenBook 14,Ryzen 3,10th Gen,4,256,500,B-Grade,52979
Asus,VivoBook 15,Celeron,6th Gen,8,256,1000,Like New,38668
MSI,Prestige 15,Core i5,7th Gen,32,1024,0,B-Grade,79308
Apple,MacBook Air M1,M1,N/A,4,1024,1000,Like New,88924
Asus,VivoBook 15,Ryzen 7,8th Gen,32,1024,0,Slightly Used,73002
Apple,MacBook Pro 2019,Core i7,8th Gen,16,1024,500,Like New,131260
MSI,Prestige 15,Celeron,10th Gen,4,256,500,B-Grade,48480
Acer,Nitro 5,Ryzen 5,7th Gen,32,256,0,Slightly Used,58825
Acer,Aspire 5,Ryzen 3,8th Gen,4,0,1000,B-Grade,37710
MSI,Modern 14,Core i5,7th Gen,16,128,500,Slightly Used,53681
HP,EliteBook 840 G5,Ryzen 7,11th Gen,8,0,1000,A-Grade,60779
Apple,MacBook Air 2017,Core i5,5th Gen,8,256,500,B-Grade,88737
MSI,Modern 14,Core i3,8th Gen,4,256,500,A-Grade,38584
Asus,TUF Gaming,Core i5,8th Gen,4,0,500,Like New,53008
Apple,MacBook Pro M2,M2,N/A,4,1024,500,Like New,84328
Apple,MacBook Pro 2015,Core i5,8th Gen,32,0,500,A-Grade,118545
Asus,TUF Gaming,Core i5,11th Gen,4,0,1000,A-Grade,70234
Lenovo,IdeaPad 3,Core i3,8th Gen,8,512,1000,Slightly Used,49473
MSI,Prestige 15,Core i5,11th Gen,8,128,500,Slightly Used,78575
Acer,Predator Helios,Ryzen 3,6th Gen,8,1024,1000,Like New,52936
MSI,Modern 14,Ryzen 3,11th Gen,16,512,0,Slightly Used,74594
Dell,Latitude 5400,Ryzen 5,6th Gen,4,0,500,B-Grade,24892
Asus,TUF Gaming,Ryzen 5,8th Gen,4,0,1000,Slightly Used,39301
Lenovo,ThinkPad T480,Core i3,11th Gen,4,1024,0,Slightly Used,74319
Acer,Nitro 5,Celeron,10th Gen,16,256,500,Like New,68310
Asus,ZenBook 14,Ryzen 5,7th Gen,8,128,0,Like New,35212
Asus,ROG Strix,Ryzen 7,8th Gen,16,1024,500,Slightly Used,64341
Lenovo,IdeaPad 3,Ryzen 5,6th Gen,4,0,500,Like New,28516
Lenovo,ThinkPad L480,Core i5,8th Gen,32,0,500,Like New,81217
Lenovo,Legion 5,Ryzen 3,7th Gen,32,0,1000,A-Grade,54913
HP,Pavilion 15,Ryzen 7,6th Gen,16,0,500,Like New,42925
Dell,Latitude 7480,Celeron,10th Gen,16,256,1000,B-Grade,62390
Acer,Aspire 5,Ryzen 3,8th Gen,8,1024,1000,B-Grade,59727
HP,Spectre x360,Core i5,10th Gen,4,512,500,A-Grade,72041
Microsoft,Surface Book 2,Core i5,10th Gen,8,512,1000,A-Grade,75204
Microsoft,Surface Pro 7,Ryzen 5,10th Gen,4,0,1000,A-Grade,44297
MSI,GF63 Thin,Core i5,8th Gen,8,256,1000,Like New,64586
Acer,Nitro 5,Core i5,7th Gen,32,1024,0,A-Grade,78582
Microsoft,Surface Laptop 3,Core i5,6th Gen,32,256,0,Like New,73316
MSI,Modern 14,Core i5,11th Gen,4,1024,500,A-Grade,84982
Acer,Predator Helios,Core i5,8th Gen,4,256,0,Like New,58557
Microsoft,Surface Laptop 3,Ryzen 3,6th Gen,16,512,0,B-Grade,43475
Lenovo,ThinkPad L480,Core i5,8th Gen,4,128,1000,A-Grade,49682
MSI,Modern 14,Ryzen 7,6th Gen,4,512,0,Like New,41383
Acer,Nitro 5,Core i5,11th Gen,4,128,1000,Like New,78591
Microsoft,Surface Laptop 3,Ryzen 7,6th Gen,32,512,1000,Slightly Used,59882
MSI,Prestige 15,Ryzen 3,6th Gen,4,512,500,B-Grade,33911
Asus,VivoBook 15,Core i5,11th Gen,16,256,1000,Slightly Used,84698
Dell,Latitude 7480,Core i5,8th Gen,16,512,1000,A-Grade,72632
HP,EliteBook 840 G3,Ryzen 7,10th Gen,32,512,0,Slightly Used,79383
Apple,MacBook Air 2017,Core i7,9th Gen,32,512,500,B-Grade,122629
Acer,Aspire 5,Core i5,10th Gen,8,1024,500,A-Grade,79328
Dell,XPS 13,Ryzen 3,8th Gen,32,0,500,Slightly Used,59824
Apple,MacBook Pro 2015,Core i5,5th Gen,4,512,0,Slightly Used,89022
Apple,MacBook Pro M2,M2,N/A,16,1024,0,Like New,97957
Dell,Latitude 7490,Celeron,10th Gen,4,128,1000,A-Grade,46770
Apple,MacBook Air 2017,Core i7,5th Gen,8,512,500,Slightly Used,104608
Microsoft,Surface Laptop 3,Core i7,6th Gen,16,128,0,A-Grade,61586
Asus,VivoBook 15,Core i5,10th Gen,16,0,1000,Slightly Used,76604
HP,ProBook 450 G6,Ryzen 7,11th Gen,8,1024,0,A-Grade,75567
Dell,Latitude 7490,Core i5,10th Gen,8,512,500,Like New,81606
Microsoft,Surface Book 2,Core i5,10th Gen,16,256,0,Slightly Used,80147
Apple,MacBook Air M1,M1,N/A,4,1024,0,B-Grade,81043
Dell,Latitude 7480,Core i5,8th Gen,4,256,0,Like New,61759
Apple,MacBook Pro 2019,Core i5,9th Gen,16,512,0,B-Grade,102912
Apple,MacBook Air M1,M1,N/A,8,1024,1000,Like New,94418
Microsoft,Surface Laptop 3,Core i7,10th Gen,32,512,500,Slightly Used,106221
HP,Spectre x360,Core i5,8th Gen,16,0,1000,A-Grade,63007
Asus,ROG Strix,Ryzen 3,11th Gen,16,128,0,Slightly Used,66170
Microsoft,Surface Laptop 3,Core i7,8th Gen,32,512,1000,Like New,96399
Asus,ROG Strix,Core i7,10th Gen,8,256,500,A-Grade,80466
Microsoft,Surface Pro 7,Core i5,8th Gen,4,512,500,Like New,67765
Microsoft,Surface Laptop 3,Core i7,6th Gen,8,512,1000,Like New,67994
Asus,ZenBook 14,Celeron,10th Gen,16,1024,0,A-Grade,76711
Asus,TUF Gaming,Core i5,11th Gen,32,128,500,B-Grade,93710
Microsoft,Surface Laptop 3,Core i5,8th Gen,16,0,500,B-Grade,62781
Asus,ROG Strix,Ryzen 7,7th Gen,16,128,500,B-Grade,35986
MSI,Prestige 15,Core i7,11th Gen,16,0,1000,Slightly Used,93040
Acer,Swift 3,Core i5,7th Gen,8,256,0,Slightly Used,53558
Asus,ZenBook 14,Core i5,7th Gen,16,512,500,Like New,66995
Acer,Nitro 5,Core i5,11th Gen,16,128,500,B-Grade,82021
Apple,MacBook Air 2017,Core i7,5th Gen,8,256,0,B-Grade,98259
Acer,Predator Helios,Core i5,10th Gen,4,512,500,B-Grade,72235
Dell,Latitude 5400,Core i3,10th Gen,4,0,500,Slightly Used,44936
Dell,Latitude 7490,Core i3,6th Gen,32,256,0,A-Grade,58901
Dell,Latitude 7480,Core i5,7th Gen,4,512,500,Like New,55396
HP,ZBook 15,Ryzen 5,7th Gen,32,128,500,A-Grade,51481
HP,EliteBook 840 G5,Core i5,11th Gen,4,512,1000,B-Grade,76866
Apple,MacBook Pro 2015,Core i7,8th Gen,4,256,1000,Slightly Used,104810
Acer,Aspire 5,Core i7,6th Gen,4,0,500,B-Grade,49192
HP,EliteBook 840 G3,Ryzen 5,6th Gen,32,128,0,Slightly Used,51896
Asus,VivoBook 15,Core i3,7th Gen,8,0,500,Like New,34755
Apple,MacBook Air 2017,Core i5,9th Gen,16,1024,0,Like New,115681
Apple,MacBook Air M1,M1,N/A,16,0,1000,A-Grade,79748
Apple,MacBook Air 2017,Core i7,5th Gen,16,128,1000,Slightly Used,101567
Microsoft,Surface Pro 7,Ryzen 5,11th Gen,8,0,500,A-Grade,64770
Microsoft,Surface Laptop 3,Ryzen 5,6th Gen,4,0,500,A-Grade,24503
HP,ZBook 15,Core i3,6th Gen,4,1024,1000,A-Grade,39732
Asus,TUF Gaming,Core i7,11th Gen,16,1024,0,A-Grade,109457
MSI,Modern 14,Ryzen 7,10th Gen,8,0,1000,Slightly Used,53162
HP,Spectre x360,Core i5,8th Gen,32,128,500,B-Grade,75528
Dell,Latitude 7490,Celeron,7th Gen,16,512,0,Like New,50818
Dell,XPS 13,Ryzen 5,7th Gen,8,512,500,Like New,44814
Acer,Nitro 5,Celeron,11th Gen,16,512,0,A-Grade,73274
MSI,Modern 14,Ryzen 5,11th Gen,8,0,1000,B-Grade,60583
HP,ZBook 15,Core i7,10th Gen,32,128,0,Slightly Used,98908
MSI,Prestige 15,Core i3,11th Gen,16,0,500,Like New,74778
Microsoft,Surface Pro 7,Core i3,10th Gen,4,512,500,Like New,59987
Apple,MacBook Pro 2019,Core i5,8th Gen,32,1024,1000,Slightly Used,132023
Asus,TUF Gaming,Ryzen 5,8th Gen,32,1024,500,Like New,81138
Asus,ZenBook 14,Ryzen 7,10th Gen,32,128,1000,A-Grade,70646
Microsoft,Surface Pro 7,Core i7,11th Gen,32,0,500,A-Grade,108601
Dell,Inspiron 15,Core i3,6th Gen,4,512,1000,B-Grade,37763
Acer,Swift 3,Core i3,8th Gen,32,128,1000,A-Grade,64411
Asus,ROG Strix,Core i5,11th Gen,8,256,500,A-Grade,77891
Apple,MacBook Air 2017,Core i5,5th Gen,8,1024,0,A-Grade,103300
HP,EliteBook 840 G3,Celeron,8th Gen,4,0,500,B-Grade,34414
MSI,Prestige 15,Ryzen 7,6th Gen,16,512,1000,B-Grade,44936
HP,Pavilion 15,Core i3,8th Gen,16,512,500,A-Grade,58982
MSI,Prestige 15,Ryzen 7,7th Gen,32,1024,1000,A-Grade,68471
Acer,Aspire 5,Ryzen 3,6th Gen,8,1024,0,Like New,54415
HP,Pavilion 15,Celeron,10th Gen,32,1024,500,B-Grade,87114
HP,EliteBook 840 G5,Core i5,8th Gen,4,1024,1000,Slightly Used,67822
Lenovo,ThinkPad T480,Core i5,11th Gen,8,0,1000,B-Grade,77461
Microsoft,Surface Book 2,Core i5,7th Gen,8,256,0,B-Grade,53197
MSI,Prestige 15,Core i3,6th Gen,8,128,500,A-Grade,31540
Apple,MacBook Pro 2019,Core i5,5th Gen,8,128,1000,A-Grade,89654
Asus,ROG Strix,Core i7,7th Gen,4,512,0,Slightly Used,60510
Lenovo,IdeaPad 3,Ryzen 5,7th Gen,32,1024,500,Like New,69948
HP,Pavilion 15,Core i5,8th Gen,8,256,500,B-Grade,62677
Microsoft,Surface Laptop 3,Ryzen 5,11th Gen,8,256,0,A-Grade,64844
Asus,VivoBook 15,Celeron,11th Gen,4,1024,0,Slightly Used,69741
MSI,Modern 14,Ryzen 3,11th Gen,8,0,1000,Slightly Used,59940
Apple,MacBook Air 2017,Core i7,9th Gen,16,0,1000,A-Grade,103088
Lenovo,IdeaPad 3,Core i5,6th Gen,32,512,0,B-Grade,76600
Microsoft,Surface Book 2,Core i5,6th Gen,32,128,0,Like New,71967
Dell,Precision 5520,Core i3,11th Gen,8,0,500,Like New,63833
Apple,MacBook Air 2017,Core i7,9th Gen,4,256,1000,B-Grade,94083
MSI,Modern 14,Ryzen 5,7th Gen,16,512,0,Slightly Used,45353
MSI,Modern 14,Ryzen 7,8th Gen,16,1024,500,B-Grade,61640
Dell,Inspiron 15,Ryzen 3,11th Gen,32,1024,0,Like New,100556
Apple,MacBook Pro 2019,Core i7,9th Gen,32,256,1000,Slightly Used,122961
Microsoft,Surface Book 2,Core i7,8th Gen,16,512,1000,Like New,85140
Apple,MacBook Pro 2015,Core i5,9th Gen,4,512,1000,A-Grade,91942
Acer,Nitro 5,Core i5,8th Gen,8,256,1000,B-Grade,59345
Microsoft,Surface Book 2,Ryzen 5,7th Gen,16,256,0,A-Grade,41400
Acer,Aspire 5,Ryzen 5,11th Gen,8,512,500,A-Grade,68238
MSI,Modern 14,Core i5,11th Gen,8,256,1000,Slightly Used,78448
Acer,Nitro 5,Core i5,10th Gen,8,128,0,B-Grade,64336
MSI,Prestige 15,Ryzen 7,7th Gen,16,1024,1000,A-Grade,56371
Microsoft,Surface Pro 7,Ryzen 3,11th Gen,4,1024,500,B-Grade,73271
HP,EliteBook 840 G5,Core i5,8th Gen,8,1024,1000,B-Grade,72545
MSI,GF63 Thin,Ryzen 7,6th Gen,8,1024,500,A-Grade,45959
Apple,MacBook Air 2017,Core i7,8th Gen,16,128,0,Like New,121089
Acer,Nitro 5,Ryzen 5,7th Gen,8,128,0,A-Grade,30011
Dell,Precision 5520,Ryzen 7,7th Gen,8,512,500,A-Grade,41641
Lenovo,ThinkPad T470,Core i5,6th Gen,4,512,500,Slightly Used,50692
Apple,MacBook Pro 2019,Core i7,8th Gen,4,256,1000,Slightly Used,103708
Microsoft,Surface Laptop 3,Ryzen 7,8th Gen,8,1024,500,Slightly Used,56556
Dell,Latitude 5400,Core i5,7th Gen,16,256,1000,Like New,62478
Dell,Inspiron 15,Core i5,10th Gen,8,256,0,A-Grade,71942
Acer,Nitro 5,Ryzen 7,10th Gen,16,1024,0,Like New,75684
Apple,MacBook Pro M2,M2,N/A,32,1024,1000,Slightly Used,109046
Microsoft,Surface Book 2,Celeron,10th Gen,16,128,0,B-Grade,59210
Apple,MacBook Air 2017,Core i5,5th Gen,32,256,1000,Like New,115872
Microsoft,Surface Laptop 3,Ryzen 5,10th Gen,16,0,500,Like New,63735
Lenovo,ThinkPad X1 Carbon,Core i5,11th Gen,32,128,1000,Like New,103313
Apple,MacBook Air 2017,Core i5,9th Gen,32,256,0,B-Grade,108626
Lenovo,ThinkPad T470,Ryzen 5,11th Gen,4,0,500,A-Grade,59305
Microsoft,Surface Book 2,Core i5,10th Gen,32,128,1000,B-Grade,87959
Lenovo,ThinkPad T470,Ryzen 5,11th Gen,4,256,1000,Like New,64003
HP,Pavilion 15,Ryzen 7,6th Gen,16,128,500,A-Grade,35819
Asus,VivoBook 15,Core i5,6th Gen,16,256,1000,A-Grade,54190
Microsoft,Surface Laptop 3,Core i5,7th Gen,16,256,0,Slightly Used,56483
Acer,Nitro 5,Core i5,6th Gen,4,0,1000,A-Grade,39376
Acer,Swift 3,Celeron,8th Gen,4,128,1000,B-Grade,33898
HP,EliteBook 840 G3,Core i5,10th Gen,16,0,500,B-Grade,71659
MSI,Modern 14,Ryzen 7,6th Gen,32,256,0,Like New,62304
Acer,Nitro 5,Ryzen 3,7th Gen,32,1024,0,Slightly Used,65060
Asus,VivoBook 15,Core i7,11th Gen,4,0,1000,Like New,85484
HP,EliteBook 840 G3,Celeron,11th Gen,4,0,500,A-Grade,58606
MSI,Prestige 15,Core i7,8th Gen,32,1024,1000,A-Grade,104019
Microsoft,Surface Book 2,Celeron,11th Gen,8,0,500,Slightly Used,63249
Acer,Predator Helios,Celeron,8th Gen,8,1024,1000,A-Grade,58802
Asus,TUF Gaming,Core i3,11th Gen,8,1024,1000,A-Grade,76724
Microsoft,Surface Pro 7,Core i5,7th Gen,16,128,0,B-Grade,52957
Microsoft,Surface Laptop 3,Core i3,6th Gen,8,0,500,Slightly Used,28349
Microsoft,Surface Pro 7,Core i3,11th Gen,8,512,0,Slightly Used,67328
Dell,Precision 5520,Ryzen 3,10th Gen,4,256,0,Slightly Used,53069
Acer,Predator Helios,Ryzen 7,6th Gen,8,1024,500,Like New,48001
Lenovo,ThinkPad L480,Core i3,6th Gen,32,128,500,B-Grade,52677
Asus,ZenBook 14,Ryzen 7,11th Gen,32,1024,0,Slightly Used,99042
Lenovo,ThinkPad L480,Ryzen 7,10th Gen,32,1024,0,Slightly Used,87347
Asus,ZenBook 14,Core i5,6th Gen,4,256,1000,Like New,52305
Apple,MacBook Pro 2015,Core i7,8th Gen,32,256,500,A-Grade,129088
Dell,Precision 5520,Ryzen 7,11th Gen,4,512,1000,Slightly Used,66493
Apple,MacBook Air M1,M1,N/A,16,0,1000,Slightly Used,80783
Apple,MacBook Pro 2015,Core i5,8th Gen,4,0,1000,A-Grade,89918
HP,Pavilion 15,Ryzen 7,6th Gen,4,128,500,B-Grade,29916
Microsoft,Surface Book 2,Core i7,10th Gen,32,1024,1000,A-Grade,112436
Lenovo,ThinkPad T470,Ryzen 7,10th Gen,16,128,500,Like New,61958
Acer,Nitro 5,Ryzen 7,6th Gen,8,128,500,Like New,33764
Asus,VivoBook 15,Core i3,11th Gen,32,256,1000,Like New,88598
Apple,MacBook Pro 2015,Core i7,8th Gen,16,512,500,Like New,127957
Acer,Swift 3,Ryzen 5,11th Gen,4,512,500,B-Grade,62690
Lenovo,ThinkPad L480,Core i3,6th Gen,4,256,0,Like New,37061
HP,Spectre x360,Core i3,7th Gen,4,1024,1000,A-Grade,42210
Acer,Aspire 5,Ryzen 5,6th Gen,8,256,500,Slightly Used,38533
Apple,MacBook Air M1,M1,N/A,4,128,1000,Slightly Used,69058
Microsoft,Surface Book 2,Ryzen 3,8th Gen,4,1024,0,A-Grade,51255
Microsoft,Surface Laptop 3,Core i5,7th Gen,4,256,1000,Slightly Used,44731
Apple,MacBook Air 2017,Core i5,5th Gen,16,1024,0,B-Grade,107933
HP,EliteBook 840 G5,Core i5,7th Gen,8,128,500,Slightly Used,49094
Dell,Inspiron 15,Core i5,10th Gen,32,128,0,A-Grade,85887
MSI,GF63 Thin,Core i5,6th Gen,32,512,500,Like New,81421
Apple,MacBook Air M1,M1,N/A,8,512,1000,Slightly Used,81581
Microsoft,Surface Book 2,Ryzen 3,10th Gen,4,1024,1000,B-Grade,58665
Acer,Nitro 5,Core i5,8th Gen,32,1024,0,Slightly Used,89276
Acer,Predator Helios,Ryzen 3,11th Gen,8,256,1000,A-Grade,68115
Lenovo,ThinkPad L480,Core i7,7th Gen,32,0,1000,A-Grade,75614
Dell,Latitude 7480,Ryzen 7,8th Gen,32,1024,1000,B-Grade,75161
Dell,XPS 13,Core i5,10th Gen,8,128,0,B-Grade,63366
HP,ZBook 15,Celeron,8th Gen,4,256,500,Slightly Used,38937
Acer,Aspire 5,Core i5,8th Gen,16,0,500,Slightly Used,66904
MSI,Prestige 15,Ryzen 3,6th Gen,4,256,500,Slightly Used,33834
Apple,MacBook Pro M2,M2,N/A,8,256,500,Slightly Used,72289
Asus,ROG Strix,Ryzen 3,6th Gen,8,512,0,B-Grade,41996
Acer,Predator Helios,Core i7,8th Gen,8,256,1000,A-Grade,68399
Acer,Aspire 5,Core i3,6th Gen,8,128,500,B-Grade,34074
Dell,Latitude 7480,Core i3,11th Gen,4,512,1000,Like New,70666
Microsoft,Surface Pro 7,Core i5,11th Gen,4,256,500,A-Grade,72108
Lenovo,ThinkPad X1 Carbon,Core i3,8th Gen,8,256,1000,Slightly Used,45443
Apple,MacBook Air M1,M1,N/A,4,256,500,B-Grade,68667
Lenovo,IdeaPad 3,Core i7,8th Gen,32,128,500,B-Grade,86654
Asus,TUF Gaming,Core i5,6th Gen,16,1024,0,A-Grade,65206
MSI,GF63 Thin,Ryzen 3,7th Gen,16,512,500,A-Grade,46047
Asus,ZenBook 14,Celeron,6th Gen,8,0,500,B-Grade,30267
Microsoft,Surface Pro 7,Core i3,7th Gen,32,128,1000,A-Grade,49399
Dell,XPS 13,Core i7,11th Gen,8,0,500,Slightly Used,85621
Acer,Aspire 5,Core i5,6th Gen,4,256,500,Slightly Used,44766
Acer,Nitro 5,Ryzen 5,10th Gen,16,128,500,Slightly Used,59476
Acer,Swift 3,Ryzen 5,10th Gen,32,0,500,Slightly Used,71641
HP,EliteBook 840 G3,Core i5,10th Gen,16,256,500,Like New,81128
Apple,MacBook Air 2017,Core i5,9th Gen,4,0,1000,Like New,89936
Apple,MacBook Pro 2015,Core i5,5th Gen,32,256,0,Slightly Used,113601
Acer,Predator Helios,Core i5,10th Gen,8,256,500,Slightly Used,68449
Microsoft,Surface Pro 7,Core i5,11th Gen,32,0,500,Slightly Used,94053
Apple,MacBook Pro 2015,Core i5,8th Gen,8,1024,500,A-Grade,109606
Apple,MacBook Pro 2019,Core i5,5th Gen,16,1024,500,A-Grade,105109
Asus,ROG Strix,Celeron,6th Gen,16,512,500,B-Grade,46837
MSI,GF63 Thin,Celeron,7th Gen,8,128,1000,Slightly Used,32478
Apple,MacBook Pro 2019,Core i7,5th Gen,16,512,1000,A-Grade,111926
MSI,Prestige 15,Core i5,6th Gen,32,1024,0,B-Grade,84571
Dell,Latitude 5400,Core i5,8th Gen,32,256,500,Like New,86247
Dell,Latitude 7490,Core i5,7th Gen,8,1024,1000,B-Grade,62071
Asus,VivoBook 15,Ryzen 7,11th Gen,8,1024,0,Slightly Used,74608
Lenovo,ThinkPad T470,Core i5,8th Gen,8,1024,1000,B-Grade,70968
Acer,Swift 3,Core i5,11th Gen,8,512,500,Slightly Used,81111
Lenovo,ThinkPad X1 Carbon,Core i3,7th Gen,32,256,1000,B-Grade,54071
Acer,Swift 3,Celeron,6th Gen,4,512,1000,Slightly Used,36100
HP,Pavilion 15,Ryzen 7,11th Gen,32,128,500,Slightly Used,79469
Microsoft,Surface Book 2,Core i5,7th Gen,8,256,500,A-Grade,53500
Asus,ROG Strix,Ryzen 5,6th Gen,32,0,1000,B-Grade,51376
Acer,Aspire 5,Core i7,8th Gen,32,256,1000,B-Grade,88229
Asus,ROG Strix,Core i3,10th Gen,4,0,1000,B-Grade,47428
MSI,GF63 Thin,Core i5,7th Gen,8,512,500,A-Grade,56862
Acer,Predator Helios,Core i3,8th Gen,32,0,500,Slightly Used,58532
HP,Pavilion 15,Core i7,8th Gen,32,256,1000,B-Grade,90019
Apple,MacBook Pro M2,M2,N/A,8,512,1000,A-Grade,76200
Apple,MacBook Air 2017,Core i7,9th Gen,32,1024,500,Like New,134336
Apple,MacBook Air M1,M1,N/A,8,128,1000,B-Grade,69747
MSI,GF63 Thin,Ryzen 7,10th Gen,4,256,0,Slightly Used,48653
Asus,ROG Strix,Core i5,6th Gen,32,0,500,A-Grade,66966
Microsoft,Surface Laptop 3,Ryzen 5,10th Gen,4,1024,500,Slightly Used,61533
Apple,MacBook Air M1,M1,N/A,4,128,0,A-Grade,64454
HP,Spectre x360,Core i7,6th Gen,4,0,500,A-Grade,52275
Acer,Aspire 5,Ryzen 5,11th Gen,4,0,1000,Like New,59554
Asus,ROG Strix,Core i5,11th Gen,8,512,500,B-Grade,81966
Apple,MacBook Pro 2015,Core i7,8th Gen,8,512,0,B-Grade,116328
Asus,ROG Strix,Core i7,11th Gen,16,512,500,Slightly Used,101742
Asus,TUF Gaming,Core i7,8th Gen,4,256,0,A-Grade,68260
MSI,GF63 Thin,Core i5,11th Gen,32,1024,0,A-Grade,112116
Dell,Latitude 5400,Ryzen 7,8th Gen,32,0,1000,B-Grade,60593
Dell,Latitude 7490,Celeron,11th Gen,4,0,1000,B-Grade,54473
Microsoft,Surface Pro 7,Core i3,10th Gen,4,512,500,A-Grade,51726
Apple,MacBook Pro M2,M2,N/A,32,0,500,A-Grade,94626
MSI,GF63 Thin,Ryzen 7,8th Gen,8,1024,1000,Like New,61336
MSI,GF63 Thin,Core i5,10th Gen,32,512,0,A-Grade,96484
Microsoft,Surface Book 2,Ryzen 7,10th Gen,8,256,1000,A-Grade,54943
MSI,GF63 Thin,Core i3,6th Gen,32,256,1000,B-Grade,57641
Lenovo,ThinkPad X1 Carbon,Core i3,7th Gen,16,256,0,A-Grade,44256
HP,Pavilion 15,Core i7,11th Gen,32,512,1000,Slightly Used,112257
MSI,GF63 Thin,Celeron,6th Gen,32,512,0,Like New,63680
Acer,Predator Helios,Core i7,8th Gen,8,1024,0,Like New,88170
Apple,MacBook Air M1,M1,N/A,32,128,1000,A-Grade,90362
Dell,XPS 13,Core i5,10th Gen,32,1024,500,A-Grade,104685
